"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.05.2016","328,915","329,750","330,785","327,600","","-0,33%"
"12.05.2016","330,000","332,800","333,860","327,760","","-1,04%"
"11.05.2016","333,480","333,000","334,170","331,900","","-0,16%"
"10.05.2016","334,000","333,850","334,000","333,850","","0,00%"
"09.05.2016","334,000","333,850","334,000","333,850","","-0,21%"
"06.05.2016","334,695","332,320","335,585","332,060","","0,76%"
"05.05.2016","332,185","333,100","336,895","331,850","","-0,30%"
"04.05.2016","333,185","328,250","333,385","328,250","","1,55%"
"03.05.2016","328,100","327,360","330,780","327,300","","0,23%"
"02.05.2016","327,350","327,200","327,350","327,200","","-0,01%"
"29.04.2016","327,390","330,980","331,010","326,390","","-1,12%"
"28.04.2016","331,100","330,820","332,800","328,890","","0,03%"
"27.04.2016","331,005","333,000","333,295","330,000","","-0,69%"
"26.04.2016","333,295","333,450","334,185","332,000","","-0,06%"
"25.04.2016","333,490","334,700","334,730","332,300","","-0,60%"
"22.04.2016","335,500","332,750","338,100","332,750","","0,76%"
"21.04.2016","332,985","337,580","337,605","330,850","","-1,49%"
"20.04.2016","338,020","337,570","338,940","335,700","","-0,15%"
"19.04.2016","338,520","338,980","340,120","335,450","","-0,74%"
"18.04.2016","341,040","334,000","342,650","334,000","","2,20%"
"15.04.2016","333,690","335,300","336,470","332,000","","-0,54%"
"14.04.2016","335,495","333,630","337,425","333,200","","0,30%"
"13.04.2016","334,500","335,310","336,310","332,720","","-0,33%"
"12.04.2016","335,605","336,500","336,695","334,570","","-0,41%"
"11.04.2016","337,000","336,400","338,080","335,200","","-0,97%"
"08.04.2016","340,295","340,560","342,095","339,000","","-0,23%"
"07.04.2016","341,095","344,700","345,385","339,800","","-1,27%"
"06.04.2016","345,495","344,900","345,595","342,900","","0,00%"
"05.04.2016","345,495","344,250","346,205","344,000","","0,44%"
"04.04.2016","343,995","342,360","344,505","342,360","","0,47%"
"01.04.2016","342,395","344,880","345,095","340,750","","-0,78%"
"31.03.2016","345,095","343,610","345,435","342,930","","0,41%"
"30.03.2016","343,670","344,400","344,460","338,600","","-0,15%"
"29.03.2016","344,170","341,810","344,410","341,810","","1,18%"
"28.03.2016","340,170","340,110","340,670","339,170","","-0,89%"
"25.03.2016","343,220","347,250","347,310","342,220","","-1,17%"
"24.03.2016","347,300","346,110","347,930","346,110","","0,52%"
"23.03.2016","345,500","345,350","345,500","345,350","","0,00%"
"22.03.2016","345,500","345,350","345,500","345,350","","0,00%"
"21.03.2016","345,500","346,150","346,300","345,350","","-0,19%"
"18.03.2016","346,170","345,700","347,170","344,590","","-0,29%"
"17.03.2016","347,170","348,500","348,760","344,900","","-0,54%"
"16.03.2016","349,070","344,820","350,170","344,700","","1,20%"
"15.03.2016","344,915","343,140","344,915","342,900","","0,49%"
"14.03.2016","343,250","345,300","345,450","342,220","","-0,28%"
"11.03.2016","344,220","344,300","345,380","342,000","","-0,01%"
"10.03.2016","344,245","343,940","344,885","343,010","","-0,13%"
"09.03.2016","344,700","345,640","345,790","343,500","","-0,23%"
"08.03.2016","345,500","345,350","345,500","345,350","","0,00%"
"07.03.2016","345,500","345,350","345,500","345,350","","0,28%"
"05.03.2016","344,525","344,600","345,375","343,530","","-0,25%"
"04.03.2016","345,400","345,500","347,250","344,200","","-0,06%"
"03.03.2016","345,600","345,200","346,750","344,530","","-0,37%"
"02.03.2016","346,900","348,500","349,000","345,350","","-0,33%"
"01.03.2016","348,050","347,500","348,850","346,500","","-0,56%"
"29.02.2016","350,000","350,000","351,000","348,100","","0,21%"
"26.02.2016","349,250","349,200","351,170","348,070","","-0,22%"
"25.02.2016","350,025","349,200","351,525","347,650","","-0,15%"
"24.02.2016","350,560","348,240","351,300","347,490","","0,37%"
"23.02.2016","349,260","348,860","349,460","347,200","","-0,22%"
"22.02.2016","350,025","353,000","353,025","350,000","","-0,98%"
"19.02.2016","353,500","350,000","358,000","350,000","","0,99%"
"18.02.2016","350,025","356,980","357,005","349,030","","-1,76%"
"17.02.2016","356,300","359,000","362,170","356,150","","-1,06%"
"16.02.2016","360,100","363,500","363,600","356,500","","-0,96%"
"15.02.2016","363,600","368,180","368,280","359,000","","-1,39%"
"12.02.2016","368,740","360,000","370,550","359,840","","2,40%"
"11.02.2016","360,100","360,000","361,610","359,300","","0,00%"
"10.02.2016","360,100","360,000","366,100","358,600","","-0,24%"
"09.02.2016","360,980","358,480","364,050","358,480","","0,75%"
"08.02.2016","358,300","359,700","360,620","358,150","","-1,86%"
"05.02.2016","365,100","363,500","366,200","362,050","","0,41%"
"04.02.2016","363,600","370,000","370,450","362,000","","-1,76%"
"03.02.2016","370,100","370,000","378,300","369,250","","0,00%"
"02.02.2016","370,100","360,000","373,100","359,750","","2,78%"
"01.02.2016","360,100","378,000","378,100","359,000","","-1,22%"
"29.01.2016","364,550","370,500","370,550","362,980","","-1,62%"
"28.01.2016","370,550","377,500","377,550","370,120","","-1,85%"
"27.01.2016","377,550","379,500","379,800","373,000","","-0,53%"
"26.01.2016","379,550","376,550","381,700","376,550","","0,94%"
"25.01.2016","376,000","382,000","382,150","370,000","","-1,34%"
"22.01.2016","381,100","391,000","391,100","376,000","","-2,56%"
"21.01.2016","391,100","376,800","392,100","376,800","","3,77%"
"20.01.2016","376,900","378,500","378,600","369,830","","-0,49%"
"19.01.2016","378,750","377,600","379,750","369,850","","0,28%"
"18.01.2016","377,700","374,500","378,180","373,000","","4,60%"
"15.01.2016","361,100","364,200","364,830","357,650","","-0,88%"
"14.01.2016","364,300","363,670","369,200","362,000","","0,03%"
"13.01.2016","364,195","366,000","367,175","362,450","","-0,52%"
"12.01.2016","366,100","360,000","369,400","358,880","","1,67%"
"11.01.2016","360,100","351,900","360,100","351,900","","2,30%"
"08.01.2016","352,000","346,000","352,000","346,000","","1,96%"
"07.01.2016","345,220","345,070","345,220","345,070","","-0,23%"
"06.01.2016","346,000","343,250","347,300","343,250","","0,85%"
"05.01.2016","343,100","340,500","343,480","340,500","","0,91%"
"04.01.2016","340,000","340,650","340,800","339,850","","-0,30%"
"01.01.2016","341,010","340,860","341,010","340,860","","0,12%"
"31.12.2015","340,600","338,450","341,300","338,450","","0,44%"
"30.12.2015","339,100","337,900","339,500","337,820","","-0,12%"
"29.12.2015","339,500","335,000","340,910","335,000","","1,95%"
"28.12.2015","333,010","328,000","334,610","328,000","","1,35%"
"25.12.2015","328,560","326,000","329,450","325,700","","0,75%"
"24.12.2015","326,100","329,610","329,710","325,090","","-1,03%"
"23.12.2015","329,500","336,500","337,070","329,000","","-2,09%"
"22.12.2015","336,525","344,000","345,025","331,550","","-2,18%"
"21.12.2015","344,025","350,000","350,025","340,100","","0,00%"
"18.12.2015","344,025","331,950","344,385","331,950","","3,67%"
"17.12.2015","331,850","331,710","331,860","331,700","","0,00%"
"16.12.2015","331,850","331,710","331,860","331,700","","0,03%"
"15.12.2015","331,750","332,770","338,370","331,000","","-0,36%"
"14.12.2015","332,960","316,000","334,650","316,000","","5,70%"
"11.12.2015","315,000","310,860","316,950","310,500","","1,41%"
"10.12.2015","310,630","310,000","311,080","310,000","","0,20%"
"09.12.2015","310,025","308,000","310,335","306,980","","0,65%"
"08.12.2015","308,025","306,950","308,905","306,840","","0,27%"
"07.12.2015","307,200","307,000","307,370","306,790","","0,06%"
"04.12.2015","307,025","307,500","307,695","305,840","","-0,16%"
"03.12.2015","307,525","307,640","308,545","307,250","","-0,06%"
"02.12.2015","307,725","307,600","308,345","307,480","","0,02%"
"01.12.2015","307,650","307,510","307,660","307,500","","0,00%"
"30.11.2015","307,660","307,100","308,230","307,100","","0,15%"
"27.11.2015","307,200","307,150","308,230","306,520","","0,01%"
"26.11.2015","307,180","307,000","308,030","307,000","","0,03%"
"25.11.2015","307,080","307,050","307,750","306,870","","0,00%"
"24.11.2015","307,075","307,040","307,775","306,450","","-0,02%"
"23.11.2015","307,150","307,200","307,680","306,520","","-0,07%"
"20.11.2015","307,375","307,390","307,845","307,000","","-0,01%"
"19.11.2015","307,400","307,320","308,080","307,020","","-0,03%"
"18.11.2015","307,480","307,900","308,260","307,090","","-0,09%"
"17.11.2015","307,770","307,650","308,930","307,310","","0,02%"
"16.11.2015","307,700","307,900","308,510","306,430","","-0,06%"
"13.11.2015","307,900","307,700","308,560","307,210","","0,29%"
"12.11.2015","307,020","306,540","307,300","306,130","","0,10%"
"11.11.2015","306,700","306,430","307,900","306,400","","0,03%"
"10.11.2015","306,600","306,800","308,500","305,450","","-0,21%"
"09.11.2015","307,250","312,100","312,250","305,850","","-1,22%"
"06.11.2015","311,050","299,500","311,200","299,270","","3,84%"
"05.11.2015","299,550","287,000","301,050","287,000","","4,35%"
"04.11.2015","287,050","282,700","288,150","282,700","","1,52%"
"03.11.2015","282,750","281,070","284,060","281,070","","0,57%"
"02.11.2015","281,150","279,600","285,910","279,600","","0,39%"
"30.10.2015","280,050","279,150","280,650","278,790","","0,27%"
"29.10.2015","279,300","279,200","279,610","278,410","","0,04%"
"28.10.2015","279,200","279,100","279,850","278,670","","-0,13%"
"27.10.2015","279,550","278,690","279,870","278,050","","0,09%"
"26.10.2015","279,300","277,950","279,650","277,500","","0,58%"
"23.10.2015","277,700","277,970","278,850","276,420","","-0,16%"
"22.10.2015","278,150","277,620","279,010","277,600","","0,11%"
"21.10.2015","277,850","277,400","278,730","275,700","","0,22%"
"20.10.2015","277,250","277,000","278,700","276,420","","0,14%"
"19.10.2015","276,850","276,100","277,510","276,100","","0,25%"
"16.10.2015","276,150","276,780","277,430","275,880","","-0,07%"
"15.10.2015","276,340","277,000","277,920","275,600","","-0,04%"
"14.10.2015","276,450","275,660","276,700","275,600","","0,94%"
"13.10.2015","273,875","274,950","276,405","270,500","","-0,46%"
"12.10.2015","275,150","274,900","275,440","274,340","","0,47%"
"09.10.2015","273,875","273,830","274,775","273,830","","0,00%"
"08.10.2015","273,875","274,000","274,705","273,720","","-0,17%"
"07.10.2015","274,350","272,850","274,610","272,850","","0,53%"
"06.10.2015","272,900","271,600","273,900","270,950","","0,46%"
"05.10.2015","271,650","271,000","271,900","271,000","","-0,03%"
"02.10.2015","271,720","271,050","272,350","270,800","","0,16%"
"01.10.2015","271,280","271,000","272,530","270,800","","-0,25%"
"30.09.2015","271,955","271,220","272,075","270,740","","-0,01%"
"29.09.2015","271,975","270,400","271,975","270,300","","0,68%"
"28.09.2015","270,150","269,000","271,730","269,000","","0,04%"
"25.09.2015","270,050","268,850","271,150","268,700","","0,39%"
"24.09.2015","269,000","269,800","269,950","268,850","","-0,31%"
"23.09.2015","269,850","260,850","270,990","260,850","","3,49%"
"22.09.2015","260,750","270,170","270,650","257,850","","-3,50%"
"21.09.2015","270,205","270,000","272,625","266,850","","-3,17%"
"18.09.2015","279,050","270,160","283,300","267,500","","3,16%"
"17.09.2015","270,500","284,350","285,050","266,800","","-4,75%"
"16.09.2015","284,000","282,000","300,700","277,300","","1,79%"
"15.09.2015","279,000","277,300","283,930","274,720","","0,36%"
"14.09.2015","278,000","267,000","280,600","260,000","","5,30%"
"11.09.2015","264,000","260,000","267,410","248,000","","1,52%"
"10.09.2015","260,050","249,790","260,050","249,790","","3,66%"
"09.09.2015","250,875","245,000","251,725","244,610","","2,38%"
"08.09.2015","245,050","243,000","245,300","242,330","","0,78%"
"07.09.2015","243,160","240,200","243,580","239,000","","1,21%"
"04.09.2015","240,250","239,950","241,480","238,850","","0,15%"
"03.09.2015","239,900","240,750","241,600","237,820","","-0,23%"
"02.09.2015","240,450","239,130","245,000","238,000","","0,40%"
"01.09.2015","239,500","235,300","241,800","234,000","","0,00%"
"31.08.2015","239,500","239,350","239,500","239,350","","-0,42%"
"28.08.2015","240,520","240,350","243,440","233,600","","-0,19%"
"27.08.2015","240,975","242,850","245,375","238,350","","-1,04%"
"26.08.2015","243,500","243,300","249,000","238,500","","2,15%"
"25.08.2015","238,375","224,350","240,975","224,350","","4,85%"
"24.08.2015","227,345","238,000","238,025","218,350","","-3,26%"
"21.08.2015","235,000","251,800","253,670","234,100","","-6,89%"
"20.08.2015","252,400","196,950","257,840","196,950","","27,94%"
"19.08.2015","197,280","188,510","197,560","188,510","","4,72%"
"18.08.2015","188,380","188,000","188,660","187,700","","0,00%"
"17.08.2015","188,380","188,000","188,660","187,850","","0,04%"
"14.08.2015","188,310","187,550","188,310","187,550","","0,13%"
"13.08.2015","188,060","187,790","188,220","187,480","","0,09%"
"12.08.2015","187,900","187,730","188,390","187,670","","-0,04%"
"11.08.2015","187,975","187,730","187,975","187,670","","0,05%"
"10.08.2015","187,875","187,600","188,035","187,550","","0,12%"
"07.08.2015","187,655","187,600","187,835","187,470","","0,00%"
"06.08.2015","187,650","187,680","187,860","187,470","","-0,01%"
"05.08.2015","187,665","187,650","187,825","187,470","","0,00%"
"04.08.2015","187,665","187,600","188,025","187,100","","0,11%"
"03.08.2015","187,465","187,400","187,625","187,300","","-0,31%"
"31.07.2015","188,055","187,450","188,055","187,100","","0,30%"
"30.07.2015","187,485","187,400","187,635","187,280","","0,01%"
"29.07.2015","187,475","187,110","187,635","187,000","","0,09%"
"28.07.2015","187,300","187,080","187,430","187,070","","-0,07%"
"27.07.2015","187,435","187,000","187,435","186,950","","0,20%"
"24.07.2015","187,060","186,940","187,190","186,880","","-0,03%"
"23.07.2015","187,110","187,060","187,220","186,880","","0,27%"
"22.07.2015","186,600","186,920","187,760","185,950","","-0,29%"
"21.07.2015","187,150","186,900","187,380","186,880","","0,29%"
"20.07.2015","186,600","187,150","187,880","185,950","","-0,32%"
"17.07.2015","187,195","186,910","187,275","186,530","","0,06%"
"16.07.2015","187,080","186,900","187,340","186,880","","0,01%"
"15.07.2015","187,060","186,630","187,500","185,950","","0,13%"
"14.07.2015","186,810","186,680","187,200","186,650","","0,00%"
"13.07.2015","186,810","186,340","186,940","185,950","","0,14%"
"10.07.2015","186,550","185,950","186,690","185,950","","0,09%"
"09.07.2015","186,380","186,220","186,520","186,190","","0,02%"
"08.07.2015","186,350","186,070","186,490","185,950","","0,08%"
"07.07.2015","186,200","186,150","186,340","185,950","","0,00%"
"06.07.2015","186,200","186,110","186,260","186,050","","-0,01%"
"03.07.2015","186,210","186,070","186,340","185,950","","-0,01%"
"02.07.2015","186,230","186,080","186,390","186,020","","-0,02%"
"01.07.2015","186,265","186,070","186,355","186,040","","0,03%"
"30.06.2015","186,210","186,080","186,340","186,020","","0,00%"
"29.06.2015","186,210","186,150","186,340","186,050","","0,00%"
"26.06.2015","186,210","186,060","186,310","186,020","","0,00%"
"25.06.2015","186,210","186,050","186,340","186,020","","0,00%"
"24.06.2015","186,210","185,870","186,340","185,870","","0,07%"
"23.06.2015","186,075","186,000","186,205","185,000","","-0,07%"
"22.06.2015","186,205","186,000","186,205","185,870","","0,08%"
"19.06.2015","186,060","185,900","186,330","185,870","","0,00%"
"18.06.2015","186,060","186,000","186,330","185,870","","0,00%"
"17.06.2015","186,055","185,900","186,085","185,870","","0,00%"
"16.06.2015","186,060","185,870","186,260","185,870","","-0,03%"
"15.06.2015","186,120","186,000","186,330","185,870","","-0,12%"
"12.06.2015","186,345","185,920","186,345","185,920","","0,15%"
"11.06.2015","186,070","185,880","186,400","185,870","","-0,01%"
"10.06.2015","186,080","185,800","186,330","185,800","","0,02%"
"09.06.2015","186,050","185,900","186,180","185,770","","0,05%"
"08.06.2015","185,950","185,900","186,230","185,800","","0,00%"
"05.06.2015","185,955","185,800","186,095","185,800","","-0,02%"
"04.06.2015","185,990","185,800","186,150","185,800","","0,01%"
"03.06.2015","185,965","185,800","186,095","185,200","","-0,01%"
"02.06.2015","185,980","185,810","186,230","185,800","","-0,01%"
"01.06.2015","185,990","185,900","186,230","185,800","","0,01%"
"29.05.2015","185,970","185,650","186,230","185,650","","0,00%"
"28.05.2015","185,975","185,650","185,975","185,650","","0,03%"
"27.05.2015","185,910","185,650","186,090","185,650","","0,05%"
"26.05.2015","185,815","185,750","185,945","185,650","","0,00%"
"25.05.2015","185,815","185,930","185,945","185,650","","-0,15%"
"22.05.2015","186,090","185,750","186,100","185,650","","0,15%"
"21.05.2015","185,815","185,650","186,085","185,650","","-0,03%"
"20.05.2015","185,870","185,650","186,090","185,650","","0,03%"
"19.05.2015","185,810","185,660","186,090","185,650","","-0,01%"
"18.05.2015","185,820","185,750","186,090","185,650","","-0,13%"
"15.05.2015","186,060","185,650","186,230","185,650","","-0,02%"
"14.05.2015","186,105","185,650","186,105","185,650","","0,11%"
"13.05.2015","185,900","185,630","186,090","185,630","","0,02%"
"12.05.2015","185,870","185,750","186,090","185,620","","-0,04%"
"11.05.2015","185,950","185,800","185,950","185,800","","0,00%"
"08.05.2015","185,950","185,750","186,300","185,410","","0,08%"
"07.05.2015","185,800","185,650","185,800","185,650","","0,00%"
"06.05.2015","185,800","185,650","186,350","185,620","","-0,02%"
"05.05.2015","185,830","185,810","186,090","185,220","","-0,01%"
"04.05.2015","185,840","185,750","186,090","185,650","","-0,12%"
"01.05.2015","186,060","185,900","186,060","185,900","","0,01%"
"30.04.2015","186,050","185,680","186,450","185,620","","0,09%"
"29.04.2015","185,890","185,670","186,350","185,220","","-0,02%"
"28.04.2015","185,920","185,680","186,090","185,640","","0,02%"
"27.04.2015","185,890","185,750","186,130","185,650","","-0,03%"
"24.04.2015","185,955","185,670","186,215","185,620","","0,06%"
"23.04.2015","185,845","185,660","186,235","185,620","","-0,03%"
"22.04.2015","185,900","185,650","186,090","185,230","","0,00%"
"21.04.2015","185,900","185,650","186,090","185,630","","0,01%"
"20.04.2015","185,890","185,750","186,090","185,620","","-0,06%"
"17.04.2015","186,000","185,670","186,350","185,620","","0,03%"
"16.04.2015","185,940","185,630","186,080","185,620","","0,01%"
"15.04.2015","185,930","185,850","186,080","185,700","","0,05%"
"14.04.2015","185,835","185,600","185,945","185,600","","0,02%"
"13.04.2015","185,795","185,600","185,805","185,600","","-0,01%"
"10.04.2015","185,805","185,650","185,805","185,600","","0,06%"
"09.04.2015","185,695","185,600","185,805","185,600","","-0,02%"
"08.04.2015","185,735","185,600","185,805","185,600","","-0,04%"
"07.04.2015","185,805","185,650","185,805","185,600","","0,04%"
"06.04.2015","185,725","185,600","185,895","185,500","","-0,09%"
"03.04.2015","185,895","185,890","185,915","185,650","","0,12%"
"02.04.2015","185,675","185,600","185,815","185,340","","-0,07%"
"01.04.2015","185,810","185,610","185,810","185,340","","0,00%"
"31.03.2015","185,805","185,340","185,815","185,340","","0,32%"
"30.03.2015","185,215","185,450","185,805","185,200","","-0,32%"
"27.03.2015","185,805","185,200","185,805","185,200","","-0,11%"
"26.03.2015","186,015","185,900","186,015","185,200","","0,00%"
"25.03.2015","186,015","185,990","186,015","185,990","","0,00%"
"24.03.2015","186,015","185,990","186,015","185,990","","0,00%"
"23.03.2015","186,015","185,990","186,015","185,990","","0,00%"
"20.03.2015","186,015","185,500","186,015","185,340","","0,11%"
"19.03.2015","185,805","185,200","185,805","185,200","","0,16%"
"18.03.2015","185,515","185,300","185,515","185,300","","0,00%"
"17.03.2015","185,515","185,480","185,515","185,480","","0,00%"
"16.03.2015","185,515","185,300","185,515","185,050","","-0,01%"
"13.03.2015","185,535","185,300","185,655","185,300","","0,00%"
"12.03.2015","185,535","185,340","185,535","185,200","","0,08%"
"11.03.2015","185,385","185,150","185,545","185,150","","0,00%"
"10.03.2015","185,385","185,150","185,385","185,150","","-0,12%"
"09.03.2015","185,615","185,590","185,615","185,590","","0,00%"
"06.03.2015","185,615","185,590","185,615","185,590","","0,12%"
"05.03.2015","185,385","185,000","185,525","185,000","","0,10%"
"04.03.2015","185,205","185,000","185,235","184,600","","0,04%"
"03.03.2015","185,140","185,200","185,300","185,040","","-0,05%"
"02.03.2015","185,235","185,280","185,305","185,000","","0,04%"
"27.02.2015","185,170","185,000","185,490","185,000","","-0,04%"
"26.02.2015","185,235","185,000","185,375","185,000","","0,00%"
"25.02.2015","185,235","185,000","185,235","185,000","","0,00%"
"24.02.2015","185,235","185,000","185,235","185,000","","0,00%"
"23.02.2015","185,235","185,000","185,235","185,000","","-0,08%"
"20.02.2015","185,385","185,040","185,385","185,000","","0,08%"
"19.02.2015","185,235","185,000","185,235","185,000","","0,00%"
"18.02.2015","185,235","185,000","185,235","185,000","","0,02%"
"17.02.2015","185,205","185,000","185,235","185,000","","0,03%"
"16.02.2015","185,150","185,000","185,200","185,000","","-0,18%"
"13.02.2015","185,480","185,040","185,480","185,000","","0,01%"
"12.02.2015","185,460","185,430","185,460","185,430","","0,12%"
"11.02.2015","185,235","185,000","185,235","185,000","","0,10%"
"10.02.2015","185,050","184,700","185,850","184,700","","-0,10%"
"09.02.2015","185,235","184,700","185,255","184,700","","0,08%"
"06.02.2015","185,095","184,880","185,095","184,700","","0,19%"
"05.02.2015","184,750","184,910","184,960","184,700","","-0,10%"
"04.02.2015","184,935","184,700","184,935","184,700","","0,18%"
"03.02.2015","184,605","184,400","184,605","184,400","","-0,02%"
"02.02.2015","184,635","184,400","184,635","184,400","","0,11%"
"30.01.2015","184,440","184,400","184,650","184,400","","-0,11%"
"29.01.2015","184,635","184,580","184,635","184,580","","0,00%"
"28.01.2015","184,635","184,400","184,635","184,090","","-0,02%"
"27.01.2015","184,665","184,400","184,665","184,400","","0,12%"
"26.01.2015","184,450","184,050","184,630","184,050","","0,00%"
"23.01.2015","184,445","184,050","184,445","184,050","","0,18%"
"22.01.2015","184,105","184,100","184,115","184,090","","-0,10%"
"21.01.2015","184,285","183,750","184,285","183,750","","0,26%"
"20.01.2015","183,800","183,800","184,010","183,750","","-0,06%"
"19.01.2015","183,915","183,750","183,955","183,750","","-0,11%"
"16.01.2015","184,125","183,550","184,125","183,550","","0,09%"
"15.01.2015","183,955","183,550","183,955","183,500","","0,11%"
"14.01.2015","183,755","183,550","183,755","183,500","","0,01%"
"13.01.2015","183,735","183,500","183,755","183,000","","0,27%"
"12.01.2015","183,235","183,000","183,705","183,000","","-0,08%"
"09.01.2015","183,375","183,100","183,375","183,000","","0,07%"
"08.01.2015","183,245","183,000","183,245","183,000","","0,11%"
"07.01.2015","183,040","183,000","183,040","183,000","","0,00%"
"06.01.2015","183,040","183,000","183,330","183,000","","0,00%"
"05.01.2015","183,045","182,300","183,045","182,300","","0,10%"
"02.01.2015","182,865","182,750","182,865","182,750","","0,00%"
"01.01.2015","182,865","182,750","182,865","182,750","","0,00%"
"31.12.2014","182,865","182,300","182,865","182,300","","0,28%"
"30.12.2014","182,360","182,350","182,670","182,320","","-0,08%"
"29.12.2014","182,505","182,450","182,505","182,300","","-0,28%"
"26.12.2014","183,015","182,300","183,015","182,300","","0,36%"
"25.12.2014","182,365","183,050","183,065","182,350","","-0,22%"
"24.12.2014","182,775","182,090","182,775","182,090","","0,27%"
"23.12.2014","182,290","182,000","182,490","182,000","","-0,18%"
"22.12.2014","182,615","182,000","182,615","182,000","","0,28%"
"19.12.2014","182,110","182,000","183,440","182,000","","0,00%"
"18.12.2014","182,115","181,650","183,525","181,650","","-0,80%"
"17.12.2014","183,575","183,500","183,575","183,500","","0,00%"
"16.12.2014","183,575","183,500","183,575","183,500","","0,00%"
"15.12.2014","183,575","182,000","183,575","181,200","","0,62%"
"12.12.2014","182,450","181,650","183,150","180,700","","0,39%"
"11.12.2014","181,750","181,650","181,790","181,600","","0,00%"
"10.12.2014","181,750","181,650","182,450","181,650","","-0,41%"
"09.12.2014","182,505","182,480","182,525","181,650","","0,14%"
"08.12.2014","182,255","181,400","182,255","181,300","","0,12%"
"05.12.2014","182,040","181,400","182,040","181,300","","0,30%"
"04.12.2014","181,500","181,500","182,850","181,000","","-0,24%"
"03.12.2014","181,930","182,000","182,050","181,350","","0,13%"
"02.12.2014","181,685","180,850","182,235","180,850","","0,06%"
"01.12.2014","181,570","181,520","181,570","181,520","","0,00%"
"28.11.2014","181,570","180,850","181,570","180,850","","0,34%"
"27.11.2014","180,960","180,920","180,960","180,920","","0,01%"
"26.11.2014","180,950","182,000","182,020","180,870","","0,01%"
"25.11.2014","180,935","180,910","180,935","180,910","","-0,14%"
"24.11.2014","181,185","180,850","181,185","180,850","","0,01%"
"21.11.2014","181,165","181,090","181,165","181,090","","0,00%"
"20.11.2014","181,165","180,850","181,165","180,850","","0,10%"
"19.11.2014","180,975","180,850","180,975","180,850","","0,01%"
"18.11.2014","180,965","180,850","180,965","180,850","","-0,01%"
"17.11.2014","180,975","180,850","180,975","180,800","","-0,03%"
"14.11.2014","181,030","180,800","181,030","180,800","","0,03%"
"13.11.2014","180,980","180,800","180,980","180,800","","0,06%"
"12.11.2014","180,880","180,800","180,950","180,800","","-0,02%"
"11.11.2014","180,920","180,800","180,920","180,800","","-0,01%"
"10.11.2014","180,940","180,850","180,960","180,800","","-0,02%"
"07.11.2014","180,975","180,800","180,975","180,800","","0,03%"
"06.11.2014","180,915","180,800","180,965","180,800","","0,00%"
"05.11.2014","180,915","180,860","180,915","180,860","","0,00%"
"04.11.2014","180,915","180,800","180,915","180,800","","-0,01%"
"03.11.2014","180,935","181,100","181,215","180,800","","-0,06%"
"31.10.2014","181,045","180,850","181,045","180,800","","0,07%"
"30.10.2014","180,915","180,800","180,915","180,800","","0,00%"
"29.10.2014","180,915","180,850","180,965","180,800","","-0,03%"
"28.10.2014","180,975","180,800","180,975","180,800","","0,04%"
"27.10.2014","180,900","180,900","181,010","180,500","","-0,02%"
"24.10.2014","180,935","180,900","181,015","180,900","","-0,04%"
"23.10.2014","181,015","180,900","181,015","180,900","","-0,09%"
"22.10.2014","181,175","181,480","182,015","180,850","","0,01%"
"21.10.2014","181,150","181,500","181,850","181,100","","-0,38%"
"20.10.2014","181,850","181,500","182,050","181,500","","-0,34%"
"17.10.2014","182,465","181,500","182,465","181,500","","0,53%"
"16.10.2014","181,510","181,700","181,900","181,500","","-0,02%"
"15.10.2014","181,545","181,790","181,845","181,500","","-0,17%"
"14.10.2014","181,850","181,850","181,950","181,750","","0,01%"
"13.10.2014","181,830","181,800","181,910","181,750","","-0,02%"
"10.10.2014","181,875","181,790","181,875","181,790","","0,02%"
"09.10.2014","181,845","181,820","181,845","181,820","","0,00%"
"08.10.2014","181,845","181,750","181,845","181,750","","0,00%"
"07.10.2014","181,850","181,800","181,870","181,770","","0,00%"
"06.10.2014","181,845","181,900","181,945","181,770","","-0,07%"
"03.10.2014","181,975","181,910","181,985","181,900","","0,02%"
"02.10.2014","181,935","181,900","182,025","181,890","","0,00%"
"01.10.2014","181,930","181,850","182,020","181,850","","0,00%"
"30.09.2014","181,925","181,900","182,015","181,900","","-0,01%"
"29.09.2014","181,935","181,850","181,935","181,850","","0,03%"
"26.09.2014","181,875","181,900","181,945","181,850","","-0,03%"
"25.09.2014","181,930","181,850","181,930","181,850","","0,01%"
"24.09.2014","181,910","181,850","181,910","181,850","","-0,01%"
"23.09.2014","181,930","181,850","181,930","181,850","","-0,03%"
"22.09.2014","181,980","181,900","181,980","181,900","","0,00%"
"19.09.2014","181,980","181,900","181,980","181,900","","-0,01%"
"18.09.2014","182,000","181,900","182,000","181,900","","0,02%"
"17.09.2014","181,965","181,950","181,965","181,900","","0,02%"
"16.09.2014","181,925","181,900","182,115","181,810","","0,02%"
"15.09.2014","181,890","181,900","182,000","181,810","","0,00%"
"12.09.2014","181,890","181,950","182,050","181,810","","-0,06%"
"11.09.2014","182,005","181,990","182,005","181,990","","0,04%"
"10.09.2014","181,925","181,810","181,925","181,810","","0,00%"
"09.09.2014","181,925","181,990","182,115","181,810","","0,00%"
"08.09.2014","181,920","181,950","182,110","181,810","","-0,05%"
"05.09.2014","182,015","181,990","182,015","181,990","","0,00%"
"04.09.2014","182,010","181,830","182,230","181,550","","0,00%"
"03.09.2014","182,015","181,800","182,045","181,530","","-0,07%"
